Fecha de Atencion,De 0 a antes de 1,De 01 a 05 ,De 06 a 09,De 10 a 14,De 15 a 18 ,De 19 a 26,De 27 a 44,De 45 a 59,De 60 y mas,No Definido,Total general
5/24/15,2.708,10.242,4.82,5.514,5.511,12.105,19.577,12.993,15.256,,88.555
5/25/15,13.325,54.167,28.597,31.255,28.616,65.128,128.5,102.652,104.31,,555.433
5/26/15,13.171,55.449,30.195,31.938,29.58,65.329,128.771,103.768,104.664,,561.741
5/27/15,12.406,54.333,28.751,31.187,28.962,65.072,126.758,101.833,103.712,,551.921
5/28/15,11.502,51.098,28.128,30.143,28.31,62.489,123.117,97.5,98.681,,529.977
5/29/15,11.251,48.626,26.256,28.439,26.68,58.407,115.68,91.615,91.147,,497.119
5/30/15,6.297,24.553,13.947,15.459,13.094,27.8,56.583,43.434,45.257,,245.905
5/31/15,2.934,10.919,4.768,4.953,4.983,10.904,18.596,13.744,18.268,,89.704
6/1/15,12.312,49.593,25.544,26.19,25.188,62.091,120.926,95.409,96.221,,512.404
6/2/15,12.037,49.359,25.675,26.855,25.586,61.706,118.697,92.34,93.342,,504.5
6/3/15,12.125,50.298,25.665,26.825,26.156,62.462,119.107,93.733,93.905,,509.217
6/4/15,12.139,48.829,25.395,26.439,25.487,61.704,118.791,93.324,93.364,,504.427
6/5/15,11.554,46.752,23.998,25.35,25.209,61.065,115.016,89.364,89.072,,486.283
6/6/15,6.047,21.675,12.026,13.156,11.466,27.192,53.514,37.858,36.509,,218.993
6/7/15,2.59,10.594,4.324,4.669,4.766,11.145,17.78,11.795,14.367,,81.832
6/8/15,2.713,13.747,6.23,6.79,6.605,13.784,22.366,15.481,18.886,,106.354
6/9/15,13.928,50.344,25.801,27.266,26.877,63.722,121.1,95.918,100.445,,524.283
6/10/15,13.253,59.041,31.177,33.226,31.922,73.364,137.732,110.787,114.149,,603.356
6/11/15,12.625,57.909,31.078,32.203,31.084,74.54,144.292,114.586,115.705,,612.707
6/12/15,11.587,45.04,24.491,25.473,24.901,61.018,114.713,89.54,90.722,,486.486
6/13/15,5.849,21.373,12.064,12.747,11.463,27.539,53.451,38.112,36.389,,218.413
6/14/15,2.45,8.343,3.124,3.253,3.556,9.159,14.289,9.163,11.744,,64.846
6/15/15,2.682,9.316,3.757,3.943,4.05,9.869,15.496,9.976,12.806,,71.64
6/16/15,14.283,50.458,26.603,27.856,26.97,63.746,120.188,95.027,97.986,,521.952
6/17/15,12.98,49.164,25.629,27.417,26.232,62.252,118.649,94.129,96.555,,511.825
6/18/15,12.72,47.686,25.23,27.274,26.229,62.321,118.21,93.391,94.858,,506.855
6/19/15,11.688,44.101,23.042,24.529,24.726,59.252,112.057,86.844,86.524,,471.78
6/20/15,6.345,22.019,11.716,12.558,11.334,28.041,55.139,39.135,37.502,,223.285
6/21/15,2.395,7.867,2.892,3.157,3.594,8.839,14.064,8.633,11.018,,62.237
6/22/15,13.347,46.082,25.565,27.659,26.087,61.902,117.516,91.917,91.406,,500.287
6/23/15,13.359,48.809,26.59,29.373,28.137,63.917,120.188,94.079,94.916,,518.269
6/24/15,12.451,47.11,25.129,28.667,27.255,61.845,115.833,90.194,91.084,,498.477
6/25/15,12.267,46.378,25.142,28.249,26.938,61.506,116.241,90.766,92.058,,498.513
6/26/15,11.19,41.608,22.91,25.272,24.248,55.519,105.991,82.511,83.526,,451.772
6/27/15,5.468,18.759,10.079,10.956,10.441,26.098,50.222,34.688,33.966,,200.214
6/28/15,2.299,7.588,3.015,3.137,3.661,8.852,14.664,9.327,11.445,,63.759
6/29/15,2.661,7.998,3.034,3.342,3.655,9.754,15.425,9.639,12.49,,67.784
6/30/15,13.589,48.837,26.494,28.352,27.953,64.894,122.939,96.956,98.705,,527.142
7/1/15,11.747,45.959,25.694,27.992,27.456,63.127,120.305,94.193,94.403,,509.888
7/2/15,10.231,43.063,26.103,28.969,28.204,61.987,118.086,90.627,89.048,,495.456
7/3/15,9.556,40.974,24.944,28.128,26.995,60.562,113.187,86.066,83.065,,472.641
7/4/15,5.137,22.252,12.789,14.505,13.29,30.53,58.061,39.967,37.117,,233.243
7/5/15,2.164,10.384,5.144,5.8,5.787,12.686,20.77,13.276,15.053,,90.87
7/6/15,11.837,45.52,25.503,27.321,26.988,61.659,119.418,92.586,94.854,,504.737
7/7/15,12.341,48.271,26.594,28.445,27.828,64.984,123.719,96.04,96.724,,523.987
7/8/15,11.633,47.278,27.099,29.324,28.286,63.899,120.969,94.012,94.362,,515.947
7/9/15,11.556,52.134,29.269,31.38,30.633,68.788,130.574,101.701,102.018,,556.96
7/10/15,10.483,52.06,28.913,31.575,30.58,69.29,131.952,101.363,100.859,,555.973
7/11/15,5.285,25.643,15.724,17.582,15.381,34.222,68.107,47.052,44.221,,272.711
7/12/15,2.021,15.876,8.999,9.056,8.481,19.245,34.927,25.685,27.59,,151.637
7/13/15,12.228,47.212,26.432,28.701,27.599,64.114,122.469,95.522,94.224,,517.503
7/14/15,12.149,48.926,26.968,29.314,28.717,65.632,124.562,97.424,96.734,,529.44
7/15/15,11.425,47.736,26.486,28.293,28.288,64.178,122.204,95.439,94.99,,518.009
7/16/15,11.082,45.083,25.556,27.644,26.775,62.669,120.228,92.604,91.543,,502.313
7/17/15,10.88,43.154,24.674,26.847,25.745,60.77,115.254,87.143,85.358,,478.948
